Matricula,Nome,CPF,Idade,Genero,EstadoCivil,PortadorNecessidadesEspeciais,PossuiCriancaMenorQue4anos,GrauEscolaridade,AreaFormacao,TreinamentoUltimoAno,Cargo,NivelCargo,AnosEmpresa,AnosCargoAtual,TipoProjeto,HorarioFlexivel,ViagemNegocios,OportunidadeUsarPlenamenteHabilidadesTrabalho,Departamento,AnosAtualGestor,Salario,PercepcaoValorBeneficios,AnosDesdeUltimaPromocao,RecebeuParticipacaoLucrosResultadosUltimos3anos,DistanciaCasa,TipoTransporte,ModalidadeTrabalho,SatisfacaoGestor,SatisfacaoRelacionamentoColegas,SatisfaçãoTrabalho,NívelEnvolvimentoTrabalho,AvaliacaoDesempenho,Absenteismo,HoraExtra,EquilíbrioEntreVidaProfissionalPessoal,Demitido
1,Vitoria Miranda Vieira,119.339.571-23,58,Feminino,Casado,Não,Não,4,Bioinformática,3,Arquiteto(a) de Soluções,3,40,10,Sustentação,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),6,10312,2,15,Não,23,Outro,Presencial,3,4,4,3,3,4,Não,2,Sim
2,Davi Rocha Monteiro,109.411.188-00,58,Masculino,Solteiro,Não,Não,4,Bioinformática,1,Executivo(a) de Contas,4,37,10,Outros,Sim,Raramente_Viaja,4,Vendas,8,13872,1,1,Não,10,Outro,Presencial,2,3,3,3,3,3,Não,2,Não
3,Thiago Pereira Azevedo,501.211.355-19,55,Masculino,Solteiro,Não,Não,3,Bioinformática,2,Gerente de Projetos,5,36,10,Sustentação,Sim,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),13,19045,4,4,Não,1,Transporte público,Remoto,2,3,1,3,3,0,Sim,3,Não
4,Sergio Vieira Ramos,363.782.456-65,55,Masculino,Casado,Não,Não,5,Marketing,3,Gerente de Projetos,5,36,6,Sustentação,Sim,Raramente_Viaja,3,Vendas,13,19586,4,2,Não,26,Outro,Remoto,3,3,4,2,4,0,Não,3,Não
5,Vitor Cardoso Martins,115.612.858-70,52,Masculino,Casado,Não,Não,4,Marketing,3,Gerente de Projetos,4,34,6,Sustentação,Não,Raramente_Viaja,1,Vendas,16,16856,1,1,Não,3,Outro,Remoto,1,1,1,2,3,0,Não,4,Não
6,Bernardo Costa Moraes,492.686.896-26,51,Masculino,Divorciado,Não,Sim,3,Ciência da Computação,2,Gerente de Projetos,4,33,9,Inovação,Sim,Raramente_Viaja,3,Recursos Humanos,10,14026,1,0,Não,5,Outro,Remoto,3,2,2,3,3,4,Sim,3,Não
7,Carlos Souza Melo,952.566.382-54,52,Masculino,Solteiro,Não,Não,4,Ciência da Computação,2,Gerente de Projetos,5,33,7,Sustentação,Sim,Nao_Viaja,3,Vendas,12,19068,1,15,Não,2,Carro Próprio,Remoto,4,4,3,2,3,4,Sim,4,Sim
8,Daniel Peixoto Gomes,368.130.431-96,52,Masculino,Casado,Sim,Não,4,Ciência da Computação,5,Gerente de Projetos,5,33,18,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),9,19999,1,11,Não,1,Carro Próprio,Remoto,3,1,3,2,3,0,Não,3,Não
9,Miguel Peixoto Miranda,213.387.950-15,55,Masculino,Divorciado,Não,Não,1,Bioinformática,3,Arquiteto(a) de Soluções,4,33,9,Sustentação,Sim,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),0,13577,4,15,Não,8,Carro Próprio,Remoto,2,4,2,2,3,0,Sim,3,Sim
10,Paula Ferreira Freitas,842.545.412-36,53,Feminino,Casado,Não,Sim,5,Curso Técnico,4,Diretor(a) de Operações,3,33,7,Outros,Não,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),9,15253.5,2,1,Não,2,Carro Próprio,Presencial,3,2,4,2,3,0,Não,3,Sim
11,Murilo Castro Pires,317.113.483-76,50,Masculino,Solteiro,Não,Não,5,Bioinformática,2,Diretor(a) de Tecnologia,4,32,6,Outros,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),9,18734.3,4,13,Não,22,Outro,Presencial,3,4,4,1,3,0,Sim,3,Sim
